fecha,simbolo,apertura,cierre,volumen
2025-01-15,AMZN,222.83,223.35,31291257
2025-01-14,AMZN,220.44,217.76,24711650
2025-01-13,AMZN,218.06,218.46,27262655
2025-01-10,AMZN,221.46,218.94,36811525
2025-01-08,AMZN,223.185,222.13,25033292
2025-01-07,AMZN,227.9,222.11,28084164
2025-01-06,AMZN,226.78,227.61,31849831
2025-01-03,AMZN,222.505,224.19,27515606
2025-01-02,AMZN,222.03,220.22,33956579
2024-12-31,AMZN,222.965,219.39,24819655
2024-12-30,AMZN,220.06,221.3,28321240
2024-12-27,AMZN,225.6,223.75,27367147
2024-12-26,AMZN,228.5,227.05,16174500
2024-12-24,AMZN,226.94,229.05,15007497
2024-12-23,AMZN,225.01,225.06,28070007
2024-12-20,AMZN,219.84,224.92,88279184
2024-12-19,AMZN,224.91,223.29,39918739
2024-12-18,AMZN,230.77,220.52,43281443
2024-12-17,AMZN,232.39,231.15,35948131
2024-12-16,AMZN,230.23,232.93,37552096
2024-12-13,AMZN,228.4,227.46,28768080
2024-12-12,AMZN,229.83,228.97,28204084
2024-12-11,AMZN,226.41,230.26,35385785
2024-12-10,AMZN,226.09,225.04,31199864
2024-12-09,AMZN,227.21,226.09,46819363
2024-12-06,AMZN,220.75,227.03,44178069
2024-12-05,AMZN,218.03,220.55,41140220
2024-12-04,AMZN,215.96,218.16,48745716
2024-12-03,AMZN,210.31,213.44,32214828
2024-12-02,AMZN,209.96,210.71,39523185
2024-11-29,AMZN,205.83,207.89,24892447
2024-11-27,AMZN,206.98,205.74,28061638
2024-11-26,AMZN,201.9,207.86,41673737
2024-11-25,AMZN,199.28,201.45,40685672
2024-11-22,AMZN,198.25,197.12,31530844
2024-11-21,AMZN,203.49,198.38,58800042
2024-11-20,AMZN,202.98,202.88,32768989
2024-11-19,AMZN,199.33,204.61,31197867
2024-11-18,AMZN,204.15,201.7,36512465
2024-11-15,AMZN,206.76,202.61,86591144
2024-11-14,AMZN,214.16,211.48,42620309
2024-11-13,AMZN,209.4,214.1,46212943
2024-11-12,AMZN,208.37,208.91,38942918
2024-11-11,AMZN,208.5,206.84,35456012
2024-11-08,AMZN,209.72,208.18,36075846
2024-11-07,AMZN,207.44,210.05,52878383
2024-11-06,AMZN,200.01,207.09,72292167
2024-11-05,AMZN,196.04,199.5,30564784
2024-11-04,AMZN,196.45,195.78,38492062
2024-11-01,AMZN,199.0,197.93,99687847
2024-10-31,AMZN,190.51,186.4,75146759
2024-10-30,AMZN,194.695,192.73,37707550
2024-10-29,AMZN,188.58,190.83,35690158
2024-10-28,AMZN,189.565,188.39,27930836
2024-10-25,AMZN,187.85,187.83,29362060
2024-10-24,AMZN,185.25,186.38,21647395
2024-10-23,AMZN,188.85,184.71,31937089
2024-10-22,AMZN,188.35,189.7,29650593
2024-10-21,AMZN,188.05,189.07,24639393
2024-10-18,AMZN,187.15,188.99,37417670
2024-10-17,AMZN,188.22,187.53,25039414
2024-10-16,AMZN,187.05,186.89,23456812
2024-10-15,AMZN,187.63,187.69,32178925
2024-10-14,AMZN,189.78,187.54,22614407
2024-10-11,AMZN,186.63,188.82,25751557
2024-10-10,AMZN,187.13,186.65,27785043
2024-10-09,AMZN,182.82,185.17,26343117
2024-10-08,AMZN,181.915,182.72,26372086
2024-10-07,AMZN,182.95,180.8,42364201
2024-10-04,AMZN,185.75,186.51,41079011
2024-10-03,AMZN,183.045,181.96,30204302
2024-10-02,AMZN,184.44,184.76,23704056
2024-10-01,AMZN,184.9,185.13,36044906
2024-09-30,AMZN,187.14,186.33,41680400
2024-09-27,AMZN,190.68,187.97,36002316
2024-09-26,AMZN,194.31,191.16,36334854
2024-09-25,AMZN,193.75,192.53,26391144
2024-09-24,AMZN,194.27,193.96,43478926
2024-09-23,AMZN,191.64,193.88,36993111
2024-09-20,AMZN,190.23,191.6,100378553
2024-09-19,AMZN,190.04,189.87,39543168
2024-09-18,AMZN,186.45,186.43,34448130
2024-09-17,AMZN,186.85,186.88,26091682
2024-09-16,AMZN,185.29,184.89,26065485
2025-02-07,GOOGL,191.05,185.34,49314961
2025-02-06,GOOGL,189.5,191.6,29297442
2025-02-05,GOOGL,191.07,191.33,70461770
2025-02-04,GOOGL,203.39,206.38,43856425
2025-02-03,GOOGL,200.69,201.23,27838348
2025-01-31,GOOGL,202.0,204.02,32041952
2025-01-30,GOOGL,198.0,200.87,24354684
2025-01-29,GOOGL,195.555,195.41,18218256
2025-01-28,GOOGL,192.745,195.3,24157929
2025-01-27,GOOGL,192.41,191.81,41728893
2025-01-24,GOOGL,198.1,200.21,23877521
2025-01-23,GOOGL,198.14,197.98,26951357
2025-01-22,GOOGL,199.06,198.37,26200617
2025-01-21,GOOGL,199.07,198.05,29971292
2025-01-17,GOOGL,196.53,196.0,27735089
2025-01-16,GOOGL,194.14,192.91,17815432
2025-01-15,GOOGL,193.09,195.55,21775969
2025-01-14,GOOGL,191.24,189.66,17174854
2025-01-13,GOOGL,190.07,191.01,21823699
2025-01-10,GOOGL,194.295,192.04,26665206
2025-01-08,GOOGL,192.57,193.95,24864766
2025-01-07,GOOGL,197.11,195.49,26487244
2025-01-06,GOOGL,193.98,196.87,29563638
2025-01-03,GOOGL,191.37,191.79,18596159
2025-01-02,GOOGL,190.65,189.43,20370828
2024-12-31,GOOGL,191.075,189.3,17466919
2024-12-30,GOOGL,189.8,191.24,14264659
2024-12-27,GOOGL,194.95,192.76,18891362
2024-12-26,GOOGL,195.15,195.6,12057210
2024-12-24,GOOGL,194.84,196.11,10403259
2024-12-23,GOOGL,192.62,194.63,25675014
2024-12-20,GOOGL,185.78,191.41,63462934
2024-12-19,GOOGL,191.625,188.51,32265241
2024-12-18,GOOGL,195.22,188.4,34166074
2024-12-17,GOOGL,197.25,195.42,43504025
2024-12-16,GOOGL,192.87,196.66,44934901
2024-12-13,GOOGL,191.01,189.82,25143495
2024-12-12,GOOGL,195.0,191.96,34817486
2024-12-11,GOOGL,185.31,195.4,67894071
2024-12-10,GOOGL,182.845,185.17,54813022
2024-12-09,GOOGL,173.96,175.37,25389631
2024-12-06,GOOGL,172.03,174.71,21462393
2024-12-05,GOOGL,175.36,172.64,21356243
2024-12-04,GOOGL,171.145,174.37,31615137
2024-12-03,GOOGL,171.49,171.34,22248705
2024-12-02,GOOGL,168.765,171.49,23789084
2024-11-29,GOOGL,168.5,168.95,14257244
2024-11-27,GOOGL,169.0,169.23,19266511
2024-11-26,GOOGL,167.63,169.12,20486720
2024-11-25,GOOGL,166.09,167.65,33135263
2024-11-22,GOOGL,165.85,164.76,38604587
2024-11-21,GOOGL,173.9,167.63,59734379
2024-11-20,GOOGL,177.34,175.98,18997111
2024-11-19,GOOGL,173.72,178.12,23434925
2024-11-18,GOOGL,173.42,175.3,20206613
2024-11-15,GOOGL,173.73,172.49,32504649
2024-11-14,GOOGL,178.28,175.58,31007457
2024-11-13,GOOGL,180.46,178.88,23184003
2024-11-12,GOOGL,179.82,181.62,25134905
2024-11-11,GOOGL,178.58,180.35,17450354
2024-11-08,GOOGL,180.645,178.35,22006182
2024-11-07,GOOGL,177.41,180.75,25352939
2024-11-06,GOOGL,173.8,176.51,33695538
2024-11-05,GOOGL,169.43,169.74,18242050
2024-11-04,GOOGL,169.93,169.24,21492744
2024-11-01,GOOGL,170.07,171.29,31796477
2024-10-31,GOOGL,173.13,171.11,44768981
2024-10-30,GOOGL,180.68,174.46,68890787
2024-10-29,GOOGL,167.73,169.68,42169025
2024-10-28,GOOGL,168.75,166.72,32138641
2024-10-25,GOOGL,163.67,165.27,19828884
2024-10-24,GOOGL,162.83,162.72,22412527
2024-10-23,GOOGL,164.76,162.78,18280518
2024-10-22,GOOGL,162.98,165.14,16568121
2024-10-21,GOOGL,162.95,164.07,20946455
2024-10-18,GOOGL,163.19,163.42,19757661
2024-10-17,GOOGL,165.73,162.93,21453395
2024-10-16,GOOGL,164.53,165.16,16406030
2024-10-15,GOOGL,165.785,165.46,20247195
2024-10-14,GOOGL,163.64,164.96,19016141
2024-10-11,GOOGL,162.13,163.24,15344251
2024-10-10,GOOGL,160.87,162.08,14144068
2024-10-09,GOOGL,163.45,161.86,31181774
2024-10-08,GOOGL,163.94,164.38,23072733
2024-10-07,GOOGL,167.72,162.98,22463140
2024-10-04,GOOGL,168.06,167.06,19093724
2024-10-03,GOOGL,164.41,165.86,15073101
2024-10-02,GOOGL,166.42,165.86,17760179
2024-10-01,GOOGL,167.685,166.99,28338123
2024-09-30,GOOGL,163.32,165.85,20481303
2024-09-27,GOOGL,162.81,163.95,21101307
2024-09-26,GOOGL,163.64,162.73,20319336
2024-09-25,GOOGL,161.47,161.49,18869199
2024-09-24,GOOGL,163.03,162.29,23332147
